fts,updated,id,home_team,away_team,kick_off,score,odd1,oddX,odd2,area_name,competition_name,datetime
,2017-06-07 11:17:54.544870,,,,,,,,,USA, USL,
,2017-06-07 11:17:54.545436,,,,,,,,,Brazil, Campeonato Maranhense,
,2017-06-07 11:17:54.546006,,,,,,,,,Brazil, Série A,
,2017-06-07 11:17:54.546575,,,,,,,,,Colombia, Liga Aguila,
,2017-06-07 11:17:54.547141,,,,,,,,,Argentina, Copa Argentina,
,2017-06-07 11:17:54.547711,,,,,,,,,Brazil, Série A,
,2017-06-07 11:17:54.548258,,,,,,,,,USA, USL,
,2017-06-07 11:17:54.549240,0,Uruguay U20,Venezuela U20,10:00,,2.61,2.92,2.79,World, World Cup U20,2017-06-08 10:00:00
,2017-06-07 11:17:54.550408,0,Australia,Saudi Arabia,12:00,,1.40,4.45,7.48,World, World Cup,2017-06-08 12:00:00
,2017-06-07 11:17:54.551571,0,Italy U20,England U20,13:00,,2.86,2.96,2.52,World, World Cup U20,2017-06-08 13:00:00
,2017-06-07 11:17:54.552715,0,Cambodia,Indonesia,13:30,,6.72,5.34,1.35,World, Friendly International,2017-06-08 13:30:00
,2017-06-07 11:17:54.554256,0,Semen Padang,PSM Makassar,15:30,,1.72,3.45,4.03,Indonesia, Liga 1,2017-06-08 15:30:00
,2017-06-07 11:17:54.555814,0,Lithuania U21,Faroe Islands U21,17:00,,1.34,4.74,7.34,Europe, Euro U21,2017-06-08 17:00:00
,2017-06-07 11:17:54.556967,0,England U20 B,Scotland U20,17:00,,1.68,3.59,4.09,World, Toulon Tournament,2017-06-08 17:00:00
,2017-06-07 11:17:54.558100,0,Portugal W,Wales W,17:00,,2.08,3.33,3.01,World, Friendly International Women,2017-06-08 17:00:00
,2017-06-07 11:17:54.559255,0,Mikkeli,Mikkelin Kissat,17:30,,1.72,3.96,3.53,Finland, Kakkonen Group A,2017-06-08 17:30:00
,2017-06-07 11:17:54.560351,0,PK-37,Kajaanin Haka,17:30,,1.63,3.95,4.00,Finland, Kakkonen Group C,2017-06-08 17:30:00
,2017-06-07 11:17:54.561476,0,Bulgaria U21,Georgia U21,17:30,,2.25,3.30,2.75,World, Friendly International,2017-06-08 17:30:00
,2017-06-07 11:17:54.562881,0,Wakirya,CO Coyah,18:00,,,,,Guinea, Ligue 1,2017-06-08 18:00:00
,2017-06-07 11:17:54.563885,0,Aschaffenburg,Furth II,18:30,,,,,Germany, Regionalliga Bayern,2017-06-08 18:30:00
,2017-06-07 11:17:54.564937,0,Kralova,Devinska N. Ves,18:30,,,,,Slovakia, Divison C Bratislava,2017-06-08 18:30:00
,2017-06-07 11:17:54.565984,0,Tvaakers,Eskilsminne,19:00,,1.84,3.98,3.11,Sweden, Division 2 - Västra Götaland,2017-06-08 19:00:00
,2017-06-07 11:17:54.567094,0,Boljan W,Vaxjo DFF W,19:00,,15.00,8.00,1.10,Sweden, Elitettan Women,2017-06-08 19:00:00
,2017-06-07 11:17:54.568200,0,Czech Republic U21,Azerbaijan U21,19:30,,1.24,5.33,8.67,World, Friendly International,2017-06-08 19:30:00
,2017-06-07 11:17:54.569287,0,Ivory Coast U20,Czech Republic U19,19:30,,2.44,3.28,2.49,World, Toulon Tournament,2017-06-08 19:30:00
,2017-06-07 11:17:54.570369,0,Sweden W,USA W,19:30,,4.95,3.63,1.58,World, Friendly International Women,2017-06-08 19:30:00
,2017-06-07 11:17:54.571486,0,Olimpo Bahia Blanca,Ferro,19:45,,2.32,2.84,3.14,Argentina, Copa Argentina,2017-06-08 19:45:00
,2017-06-07 11:17:54.572565,0,Fram,Thor Akureyri,20:00,,1.72,3.57,3.95,Iceland, Inkasso-deildin,2017-06-08 20:00:00
,2017-06-07 11:17:54.573639,0,Austria U21,Gibraltar U21,20:30,,1.01,16.92,37.25,Europe, Euro U21,2017-06-08 20:30:00
,2017-06-07 11:17:54.574702,0,Benevento,Carpi,20:30,,2.32,3.01,3.16,Italy, Serie B,2017-06-08 20:30:00
,2017-06-07 11:17:54.575754,0,Ireland W,Iceland W,20:30,,4.41,3.63,1.64,World, Friendly International Women,2017-06-08 20:30:00
,2017-06-07 11:17:54.576802,0,Inter U19,AS Roma U19,20:45,,2.02,3.73,2.86,Italy, Primavera - Final Stage,2017-06-08 20:45:00
,2017-06-07 11:17:54.577840,0,France U21,Cameroon U21,21:00,,1.36,4.75,6.00,World, Friendly International,2017-06-08 21:00:00
,2017-06-07 11:17:54.579268,0,Kopavogur,Throttur,21:15,,3.48,3.68,1.79,Iceland, Inkasso-deildin,2017-06-08 21:15:00
,2017-06-07 11:17:54.580323,0,Lanus,Sportivo Barracas,22:00,,1.12,7.32,14.37,Argentina, Copa Argentina,2017-06-08 22:00:00
,2017-06-07 11:17:54.581744,0,Sao Paulo,Vitoria,00:30,,1.48,3.91,6.74,Brazil, Série A,2017-06-09 00:30:00
,2017-06-07 11:17:54.582916,0,Peru,Paraguay,00:30,,1.79,3.53,4.25,World, Friendly International,2017-06-09 00:30:00
,2017-06-07 11:17:54.583969,0,Chico,Real Santander,00:45,,1.84,3.09,4.05,Colombia, Torneo Aguila,2017-06-09 00:45:00
,2017-06-07 11:17:54.584980,0,Chapecoense-SC,Gremio,01:00,,2.58,3.01,2.77,Brazil, Série A,2017-06-09 01:00:00
,2017-06-07 11:17:54.585992,0,Atl. Tucuman,All Boys,01:05,,2.19,3.00,3.24,Argentina, Copa Argentina,2017-06-09 01:05:00
,2017-06-07 11:17:54.586998,0,Central Cordoba,Chacarita Juniors,02:00,,,,,Argentina, Primera B Nacional,2017-06-09 02:00:00
,2017-06-07 11:17:54.587966,0,Bahia,Cruzeiro,02:00,,2.42,3.09,2.89,Brazil, Série A,2017-06-09 02:00:00
,2017-06-07 11:17:54.589013,0,USA,Trinidad & Tobago,02:00,,1.12,7.58,18.27,World, World Cup,2017-06-09 02:00:00
,2017-06-07 11:17:54.590086,0,Ecuador,Venezuela,02:30,,1.98,3.45,3.57,World, Friendly International,2017-06-09 02:30:00
,2017-06-07 11:17:54.591112,0,America De Cali,Dep. Cali,03:00,,2.42,2.98,2.75,Colombia, Liga Aguila,2017-06-09 03:00:00
,2017-06-07 11:17:54.592909,0,Solomon Islands,Papua New Guinea,06:00,,2.28,3.33,2.81,World, World Cup,2017-06-09 06:00:00
